ScanName,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%)
ATEAM-919-PC_XV_INSP-Sheep_KG_78_KG_78-PreBronch,22.4,0.126,0.182668,68.5029,46.669,49.055
ATEAM-916-PC_XV_INSP-Sheep_KG_75_KG_75-PreBronch,24.8,0.094,0.212161,84.1088,53.4499,45.788
ATEAM-911-KG_69-PRE,19.9,0.1347,0.468207,70.9115,31.1061,48.3185
ATEAM-913-KG_72-PRE,20.0,0.103,0.304448,66.5866,38.3983,46.0418
ATEAM-907-PC_XV_INSP-Sheep_KG_62_KG_62-PreBronch,21.4,0.142,0.404557,74.0824,40.6902,47.5397
ATEAM-909-KG_64-PRE,16.0,0.0981,0.197492,52.8767,35.911,33.8154
ATEAM-918-PC_XV_INSP-Sheep_KG_77_KG_77-PreBronch,21.1,0.12,0.24814,70.7379,42.7638,49.5216
ATEAM-910-KG_67-PRE,22.3,0.122,0.218974,67.472,33.6286,46.6794
ATEAM-899-PC_XV_INSP-Sheep_KG_61_KG_61-PreBronch,20.3,0.129,0.250099,71.746,43.8893,37.9794
ATEAM-908-KG_63-PRE,23.8,0.14,0.253053,76.5864,40.0088,46.0337
ATEAM-914-KG_73-PRE,21.5,0.158,0.271777,75.1311,40.2454,47.8652
ATEAM-915-PC_XV_INSP-Sheep_KG_74_KG_74-PreBronch,21.4,0.151,0.223492,71.9079,44.6147,41.4821
ATEAM-917-PC_XV_INSP-Sheep_KG_76_KG_76-PreBronch,23.3,0.117,0.188724,73.1827,47.4359,53.9857
ATEAM-912-KG_70-PRE,20.7,0.11,0.458531,65.9125,29.4582,42.497
